id,user_id,course_id,topic_id,subtopic_id,session_type,status,total_questions,answered_count,correct_count,earned_score,total_max_score,started_at,completed_at,created_at,updated_at
11,4,66,805,,mixed,completed,8,8,6,12,16,"""2026-05-06T16:02:57.000Z""","""2026-05-06T16:11:57.000Z""","""2026-05-06T16:02:57.000Z""","""2026-05-06T16:11:57.000Z"""
12,5,235,3505,,mistakes,completed,6,6,5,10,11,"""2026-06-18T19:28:20.000Z""","""2026-06-18T19:43:20.000Z""","""2026-06-18T19:28:20.000Z""","""2026-06-18T19:43:20.000Z"""
13,5,127,1777,,mixed,completed,9,9,6,14,21,"""2026-06-19T17:48:25.000Z""","""2026-06-19T18:05:25.000Z""","""2026-06-19T17:48:25.000Z""","""2026-06-19T18:05:25.000Z"""
14,5,235,3505,,mixed,completed,6,6,4,7,9,"""2026-06-20T20:14:10.000Z""","""2026-06-20T20:33:10.000Z""","""2026-06-20T20:14:10.000Z""","""2026-06-20T20:33:10.000Z"""
15,5,153,2197,,topic,completed,6,6,4,9,13,"""2026-05-07T15:37:52.000Z""","""2026-05-07T15:53:52.000Z""","""2026-05-07T15:37:52.000Z""","""2026-05-07T15:53:52.000Z"""
16,6,71,893,,mixed,completed,8,8,4,9,16,"""2026-05-01T16:57:27.000Z""","""2026-05-01T17:12:27.000Z""","""2026-05-01T16:57:27.000Z""","""2026-05-01T17:12:27.000Z"""
17,6,71,889,,weak_area,completed,7,7,3,7,17,"""2026-05-19T11:18:24.000Z""","""2026-05-19T11:29:24.000Z""","""2026-05-19T11:18:24.000Z""","""2026-05-19T11:29:24.000Z"""
18,6,144,2053,,mistakes,completed,9,9,9,16,16,"""2026-05-28T08:46:57.000Z""","""2026-05-28T09:02:57.000Z""","""2026-05-28T08:46:57.000Z""","""2026-05-28T09:02:57.000Z"""
19,6,175,2549,,mixed,completed,7,7,3,5,14,"""2026-05-09T12:01:34.000Z""","""2026-05-09T12:10:34.000Z""","""2026-05-09T12:01:34.000Z""","""2026-05-09T12:10:34.000Z"""
20,10,93,1233,,mixed,completed,6,6,3,5,9,"""2026-05-19T13:10:53.000Z""","""2026-05-19T13:21:53.000Z""","""2026-05-19T13:10:53.000Z""","""2026-05-19T13:21:53.000Z"""
21,10,132,1861,,topic,completed,9,9,4,9,19,"""2026-05-20T10:49:25.000Z""","""2026-05-20T11:03:25.000Z""","""2026-05-20T10:49:25.000Z""","""2026-05-20T11:03:25.000Z"""
22,10,48,574,,mistakes,completed,6,6,3,6,14,"""2026-05-21T16:36:48.000Z""","""2026-05-21T16:48:48.000Z""","""2026-05-21T16:36:48.000Z""","""2026-05-21T16:48:48.000Z"""
23,10,93,1233,,mistakes,completed,7,7,4,8,13,"""2026-04-30T09:03:30.000Z""","""2026-04-30T09:24:30.000Z""","""2026-04-30T09:03:30.000Z""","""2026-04-30T09:24:30.000Z"""
24,12,131,1845,,topic,completed,10,10,6,12,22,"""2026-04-28T07:42:02.000Z""","""2026-04-28T08:01:02.000Z""","""2026-04-28T07:42:02.000Z""","""2026-04-28T08:01:02.000Z"""
25,12,123,1721,,topic,completed,8,8,3,6,18,"""2026-05-01T19:39:01.000Z""","""2026-05-01T20:01:01.000Z""","""2026-05-01T19:39:01.000Z""","""2026-05-01T20:01:01.000Z"""
26,12,8,91,,mistakes,completed,6,6,2,4,12,"""2026-05-03T11:50:15.000Z""","""2026-05-03T12:11:15.000Z""","""2026-05-03T11:50:15.000Z""","""2026-05-03T12:11:15.000Z"""
27,12,164,2369,,topic,completed,9,9,7,13,17,"""2026-05-08T20:19:56.000Z""","""2026-05-08T20:27:56.000Z""","""2026-05-08T20:19:56.000Z""","""2026-05-08T20:27:56.000Z"""
28,12,192,2821,,topic,completed,7,7,6,11,13,"""2026-05-23T09:58:47.000Z""","""2026-05-23T10:18:47.000Z""","""2026-05-23T09:58:47.000Z""","""2026-05-23T10:18:47.000Z"""
29,12,164,2377,,topic,completed,8,8,3,6,16,"""2026-06-02T18:32:23.000Z""","""2026-06-02T18:42:23.000Z""","""2026-06-02T18:32:23.000Z""","""2026-06-02T18:42:23.000Z"""
30,14,137,1945,,weak_area,completed,9,9,8,19,20,"""2026-04-29T14:40:40.000Z""","""2026-04-29T14:51:40.000Z""","""2026-04-29T14:40:40.000Z""","""2026-04-29T14:51:40.000Z"""
31,14,173,2517,,weak_area,completed,6,6,2,5,14,"""2026-06-11T08:54:07.000Z""","""2026-06-11T09:03:07.000Z""","""2026-06-11T08:54:07.000Z""","""2026-06-11T09:03:07.000Z"""
32,14,240,3589,,weak_area,completed,7,7,1,1,13,"""2026-05-21T18:52:09.000Z""","""2026-05-21T19:01:09.000Z""","""2026-05-21T18:52:09.000Z""","""2026-05-21T19:01:09.000Z"""
33,14,9,97,,topic,completed,10,10,3,6,21,"""2026-05-13T14:56:13.000Z""","""2026-05-13T15:17:13.000Z""","""2026-05-13T14:56:13.000Z""","""2026-05-13T15:17:13.000Z"""
34,14,235,3505,,mixed,completed,8,8,3,6,16,"""2026-05-18T13:26:43.000Z""","""2026-05-18T13:48:43.000Z""","""2026-05-18T13:26:43.000Z""","""2026-05-18T13:48:43.000Z"""
35,16,125,1753,,mixed,completed,8,8,3,5,15,"""2026-05-27T17:30:23.000Z""","""2026-05-27T17:44:23.000Z""","""2026-05-27T17:30:23.000Z""","""2026-05-27T17:44:23.000Z"""
36,16,175,2545,,mistakes,completed,7,7,5,8,14,"""2026-05-28T08:18:30.000Z""","""2026-05-28T08:31:30.000Z""","""2026-05-28T08:18:30.000Z""","""2026-05-28T08:31:30.000Z"""
37,16,175,2545,,weak_area,completed,7,7,5,12,18,"""2026-05-29T09:20:43.000Z""","""2026-05-29T09:42:43.000Z""","""2026-05-29T09:20:43.000Z""","""2026-05-29T09:42:43.000Z"""
38,16,67,829,,mistakes,completed,8,8,4,8,18,"""2026-05-21T09:06:38.000Z""","""2026-05-21T09:22:38.000Z""","""2026-05-21T09:06:38.000Z""","""2026-05-21T09:22:38.000Z"""
39,16,67,825,,mistakes,completed,9,9,5,10,18,"""2026-06-02T09:08:40.000Z""","""2026-06-02T09:19:40.000Z""","""2026-06-02T09:08:40.000Z""","""2026-06-02T09:19:40.000Z"""
40,18,131,1849,,mixed,completed,8,8,7,13,16,"""2026-04-30T18:22:26.000Z""","""2026-04-30T18:33:26.000Z""","""2026-04-30T18:22:26.000Z""","""2026-04-30T18:33:26.000Z"""
41,18,162,2341,,mixed,completed,6,6,6,11,11,"""2026-05-15T21:39:06.000Z""","""2026-05-15T21:57:06.000Z""","""2026-05-15T21:39:06.000Z""","""2026-05-15T21:57:06.000Z"""
42,18,131,1845,,weak_area,completed,9,9,8,16,17,"""2026-05-28T09:37:44.000Z""","""2026-05-28T10:02:44.000Z""","""2026-05-28T09:37:44.000Z""","""2026-05-28T10:02:44.000Z"""
43,18,67,821,,topic,completed,6,6,3,6,13,"""2026-06-01T17:38:30.000Z""","""2026-06-01T17:46:30.000Z""","""2026-06-01T17:38:30.000Z""","""2026-06-01T17:46:30.000Z"""
44,20,12,133,,topic,completed,9,9,4,6,15,"""2026-06-12T08:22:23.000Z""","""2026-06-12T08:33:23.000Z""","""2026-06-12T08:22:23.000Z""","""2026-06-12T08:33:23.000Z"""
45,20,12,133,,weak_area,completed,8,8,4,8,15,"""2026-05-10T20:12:11.000Z""","""2026-05-10T20:33:11.000Z""","""2026-05-10T20:12:11.000Z""","""2026-05-10T20:33:11.000Z"""
46,20,49,577,,weak_area,completed,10,10,4,8,21,"""2026-05-27T09:25:27.000Z""","""2026-05-27T09:35:27.000Z""","""2026-05-27T09:25:27.000Z""","""2026-05-27T09:35:27.000Z"""
47,20,120,1665,,mistakes,completed,6,6,4,8,13,"""2026-06-09T14:31:14.000Z""","""2026-06-09T14:53:14.000Z""","""2026-06-09T14:31:14.000Z""","""2026-06-09T14:53:14.000Z"""
48,21,172,2505,,topic,completed,10,10,5,7,20,"""2026-05-05T11:10:34.000Z""","""2026-05-05T11:27:34.000Z""","""2026-05-05T11:10:34.000Z""","""2026-05-05T11:27:34.000Z"""
49,21,24,286,,weak_area,completed,10,10,7,17,24,"""2026-05-13T12:13:44.000Z""","""2026-05-13T12:37:44.000Z""","""2026-05-13T12:13:44.000Z""","""2026-05-13T12:37:44.000Z"""
50,21,48,574,,weak_area,completed,9,9,5,12,23,"""2026-05-16T20:04:31.000Z""","""2026-05-16T20:24:31.000Z""","""2026-05-16T20:04:31.000Z""","""2026-05-16T20:24:31.000Z"""
51,21,73,921,,topic,completed,8,8,3,5,14,"""2026-05-01T11:22:04.000Z""","""2026-05-01T11:42:04.000Z""","""2026-05-01T11:22:04.000Z""","""2026-05-01T11:42:04.000Z"""
52,21,141,2001,,mixed,completed,10,10,8,17,22,"""2026-05-28T09:32:52.000Z""","""2026-05-28T09:43:52.000Z""","""2026-05-28T09:32:52.000Z""","""2026-05-28T09:43:52.000Z"""
53,21,141,2013,,weak_area,completed,8,8,5,8,14,"""2026-05-31T11:43:20.000Z""","""2026-05-31T11:58:20.000Z""","""2026-05-31T11:43:20.000Z""","""2026-05-31T11:58:20.000Z"""
54,22,33,388,,topic,completed,6,6,2,5,13,"""2026-05-20T11:38:34.000Z""","""2026-05-20T11:48:34.000Z""","""2026-05-20T11:38:34.000Z""","""2026-05-20T11:48:34.000Z"""
55,22,126,1765,,topic,completed,6,6,3,6,13,"""2026-05-21T12:12:28.000Z""","""2026-05-21T12:22:28.000Z""","""2026-05-21T12:12:28.000Z""","""2026-05-21T12:22:28.000Z"""
56,22,33,388,,topic,completed,8,8,7,15,16,"""2026-05-22T16:55:09.000Z""","""2026-05-22T17:19:09.000Z""","""2026-05-22T16:55:09.000Z""","""2026-05-22T17:19:09.000Z"""
57,22,191,2805,,mistakes,completed,7,7,4,7,15,"""2026-05-23T08:48:56.000Z""","""2026-05-23T09:03:56.000Z""","""2026-05-23T08:48:56.000Z""","""2026-05-23T09:03:56.000Z"""
58,22,68,841,,mixed,completed,9,9,6,12,17,"""2026-05-24T21:12:49.000Z""","""2026-05-24T21:28:49.000Z""","""2026-05-24T21:12:49.000Z""","""2026-05-24T21:28:49.000Z"""
59,23,183,2673,,topic,completed,8,8,4,7,16,"""2026-06-03T11:46:02.000Z""","""2026-06-03T12:04:02.000Z""","""2026-06-03T11:46:02.000Z""","""2026-06-03T12:04:02.000Z"""
60,23,140,1989,,topic,completed,7,7,3,6,14,"""2026-05-17T20:02:12.000Z""","""2026-05-17T20:13:12.000Z""","""2026-05-17T20:02:12.000Z""","""2026-05-17T20:13:12.000Z"""
61,23,173,2517,,mistakes,completed,10,10,8,16,22,"""2026-06-05T12:20:23.000Z""","""2026-06-05T12:30:23.000Z""","""2026-06-05T12:20:23.000Z""","""2026-06-05T12:30:23.000Z"""
62,23,155,2233,,topic,completed,9,9,7,12,17,"""2026-05-29T12:44:40.000Z""","""2026-05-29T12:52:40.000Z""","""2026-05-29T12:44:40.000Z""","""2026-05-29T12:52:40.000Z"""
63,23,15,175,,topic,completed,6,6,5,11,13,"""2026-05-24T16:00:28.000Z""","""2026-05-24T16:24:28.000Z""","""2026-05-24T16:00:28.000Z""","""2026-05-24T16:24:28.000Z"""
64,24,1,4,,weak_area,completed,8,8,3,6,16,"""2026-05-11T18:48:11.000Z""","""2026-05-11T19:05:11.000Z""","""2026-05-11T18:48:11.000Z""","""2026-05-11T19:05:11.000Z"""
65,24,123,1725,,mixed,completed,9,9,6,9,15,"""2026-05-31T13:07:32.000Z""","""2026-05-31T13:31:32.000Z""","""2026-05-31T13:07:32.000Z""","""2026-05-31T13:31:32.000Z"""
66,24,1,4,,mistakes,completed,7,7,2,6,19,"""2026-06-07T20:43:06.000Z""","""2026-06-07T21:07:06.000Z""","""2026-06-07T20:43:06.000Z""","""2026-06-07T21:07:06.000Z"""
67,24,1,4,,mistakes,completed,6,6,3,5,11,"""2026-06-09T17:44:52.000Z""","""2026-06-09T18:04:52.000Z""","""2026-06-09T17:44:52.000Z""","""2026-06-09T18:04:52.000Z"""
68,25,225,3349,,topic,completed,9,9,6,8,16,"""2026-06-13T17:54:19.000Z""","""2026-06-13T18:13:19.000Z""","""2026-06-13T17:54:19.000Z""","""2026-06-13T18:13:19.000Z"""
69,25,66,801,,topic,completed,10,10,8,12,16,"""2026-06-14T13:21:20.000Z""","""2026-06-14T13:37:20.000Z""","""2026-06-14T13:21:20.000Z""","""2026-06-14T13:37:20.000Z"""
70,25,170,2469,,mixed,completed,6,6,6,13,13,"""2026-05-12T16:56:24.000Z""","""2026-05-12T17:05:24.000Z""","""2026-05-12T16:56:24.000Z""","""2026-05-12T17:05:24.000Z"""
71,25,170,2465,,mistakes,completed,9,9,5,11,20,"""2026-05-17T12:14:14.000Z""","""2026-05-17T12:26:14.000Z""","""2026-05-17T12:14:14.000Z""","""2026-05-17T12:26:14.000Z"""
72,25,99,1341,,mistakes,completed,7,7,6,10,13,"""2026-06-11T18:03:13.000Z""","""2026-06-11T18:14:13.000Z""","""2026-06-11T18:03:13.000Z""","""2026-06-11T18:14:13.000Z"""
73,26,235,3509,,mistakes,completed,10,10,8,15,21,"""2026-04-29T15:10:20.000Z""","""2026-04-29T15:32:20.000Z""","""2026-04-29T15:10:20.000Z""","""2026-04-29T15:32:20.000Z"""
74,26,171,2481,,topic,completed,6,6,2,5,15,"""2026-06-09T19:29:57.000Z""","""2026-06-09T19:52:57.000Z""","""2026-06-09T19:29:57.000Z""","""2026-06-09T19:52:57.000Z"""
75,26,165,2393,,weak_area,completed,10,10,3,8,24,"""2026-06-07T12:47:38.000Z""","""2026-06-07T12:58:38.000Z""","""2026-06-07T12:47:38.000Z""","""2026-06-07T12:58:38.000Z"""
76,26,27,316,,mixed,completed,10,10,2,3,18,"""2026-05-21T12:50:09.000Z""","""2026-05-21T13:10:09.000Z""","""2026-05-21T12:50:09.000Z""","""2026-05-21T13:10:09.000Z"""
77,26,27,313,,mixed,completed,8,8,4,7,18,"""2026-06-12T09:44:21.000Z""","""2026-06-12T10:09:21.000Z""","""2026-06-12T09:44:21.000Z""","""2026-06-12T10:09:21.000Z"""
78,26,24,277,,mistakes,completed,9,9,1,2,20,"""2026-05-23T18:18:16.000Z""","""2026-05-23T18:35:16.000Z""","""2026-05-23T18:18:16.000Z""","""2026-05-23T18:35:16.000Z"""
79,27,70,869,,mistakes,completed,9,9,5,8,18,"""2026-05-29T08:44:32.000Z""","""2026-05-29T09:01:32.000Z""","""2026-05-29T08:44:32.000Z""","""2026-05-29T09:01:32.000Z"""
80,27,70,865,,topic,completed,9,9,6,12,16,"""2026-05-09T13:32:41.000Z""","""2026-05-09T13:51:41.000Z""","""2026-05-09T13:32:41.000Z""","""2026-05-09T13:51:41.000Z"""
81,27,227,3381,,topic,completed,7,7,5,7,12,"""2026-06-09T08:03:20.000Z""","""2026-06-09T08:13:20.000Z""","""2026-06-09T08:03:20.000Z""","""2026-06-09T08:13:20.000Z"""
82,27,93,1237,,weak_area,completed,9,9,4,7,18,"""2026-05-16T12:34:50.000Z""","""2026-05-16T12:46:50.000Z""","""2026-05-16T12:34:50.000Z""","""2026-05-16T12:46:50.000Z"""
83,28,163,2361,,topic,completed,7,7,6,11,13,"""2026-05-16T09:24:33.000Z""","""2026-05-16T09:44:33.000Z""","""2026-05-16T09:24:33.000Z""","""2026-05-16T09:44:33.000Z"""
84,28,163,2353,,mixed,completed,10,10,7,15,20,"""2026-05-23T15:07:37.000Z""","""2026-05-23T15:32:37.000Z""","""2026-05-23T15:07:37.000Z""","""2026-05-23T15:32:37.000Z"""
85,28,163,2353,,mixed,completed,9,9,8,17,18,"""2026-05-27T17:52:10.000Z""","""2026-05-27T18:01:10.000Z""","""2026-05-27T17:52:10.000Z""","""2026-05-27T18:01:10.000Z"""
86,28,235,3505,,mixed,completed,6,6,4,7,11,"""2026-06-01T11:23:27.000Z""","""2026-06-01T11:48:27.000Z""","""2026-06-01T11:23:27.000Z""","""2026-06-01T11:48:27.000Z"""
87,29,163,2357,,mistakes,completed,7,7,1,1,14,"""2026-05-25T20:57:46.000Z""","""2026-05-25T21:16:46.000Z""","""2026-05-25T20:57:46.000Z""","""2026-05-25T21:16:46.000Z"""
88,29,85,1109,,mixed,completed,9,9,4,10,22,"""2026-05-26T17:15:10.000Z""","""2026-05-26T17:32:10.000Z""","""2026-05-26T17:15:10.000Z""","""2026-05-26T17:32:10.000Z"""
89,29,134,1893,,mistakes,completed,9,9,2,4,17,"""2026-05-27T17:55:19.000Z""","""2026-05-27T18:09:19.000Z""","""2026-05-27T17:55:19.000Z""","""2026-05-27T18:09:19.000Z"""
90,29,163,2353,,mistakes,completed,8,8,3,5,16,"""2026-05-28T12:36:59.000Z""","""2026-05-28T12:55:59.000Z""","""2026-05-28T12:36:59.000Z""","""2026-05-28T12:55:59.000Z"""
91,29,127,1781,,weak_area,completed,8,8,4,7,17,"""2026-05-29T20:14:02.000Z""","""2026-05-29T20:34:02.000Z""","""2026-05-29T20:14:02.000Z""","""2026-05-29T20:34:02.000Z"""
92,30,12,139,,mistakes,completed,6,6,2,3,12,"""2026-05-28T19:12:58.000Z""","""2026-05-28T19:34:58.000Z""","""2026-05-28T19:12:58.000Z""","""2026-05-28T19:34:58.000Z"""
93,30,12,142,,topic,completed,9,9,2,4,16,"""2026-05-29T13:13:26.000Z""","""2026-05-29T13:38:26.000Z""","""2026-05-29T13:13:26.000Z""","""2026-05-29T13:38:26.000Z"""
94,30,125,1749,,topic,completed,10,10,4,7,21,"""2026-05-30T10:46:37.000Z""","""2026-05-30T11:07:37.000Z""","""2026-05-30T10:46:37.000Z""","""2026-05-30T11:07:37.000Z"""
95,30,73,921,,topic,completed,10,10,0,0,25,"""2026-05-31T21:39:14.000Z""","""2026-05-31T21:49:14.000Z""","""2026-05-31T21:39:14.000Z""","""2026-05-31T21:49:14.000Z"""
96,31,28,328,,weak_area,completed,7,7,4,6,14,"""2026-05-27T18:48:00.000Z""","""2026-05-27T19:11:00.000Z""","""2026-05-27T18:48:00.000Z""","""2026-05-27T19:11:00.000Z"""
97,31,240,3585,,weak_area,completed,10,10,1,2,20,"""2026-05-28T16:33:33.000Z""","""2026-05-28T16:52:33.000Z""","""2026-05-28T16:33:33.000Z""","""2026-05-28T16:52:33.000Z"""
98,31,68,837,,topic,completed,6,6,3,6,14,"""2026-05-29T14:00:07.000Z""","""2026-05-29T14:19:07.000Z""","""2026-05-29T14:00:07.000Z""","""2026-05-29T14:19:07.000Z"""
99,31,201,2973,,mistakes,completed,8,8,4,7,17,"""2026-05-31T17:14:41.000Z""","""2026-05-31T17:38:41.000Z""","""2026-05-31T17:14:41.000Z""","""2026-05-31T17:38:41.000Z"""
100,32,99,1333,,weak_area,completed,8,8,8,16,16,"""2026-06-06T21:31:42.000Z""","""2026-06-06T21:45:42.000Z""","""2026-06-06T21:31:42.000Z""","""2026-06-06T21:45:42.000Z"""
101,32,3,25,,topic,completed,9,9,6,14,20,"""2026-05-21T19:54:51.000Z""","""2026-05-21T20:07:51.000Z""","""2026-05-21T19:54:51.000Z""","""2026-05-21T20:07:51.000Z"""
102,32,150,2145,,weak_area,completed,6,6,6,9,9,"""2026-06-04T08:49:31.000Z""","""2026-06-04T09:14:31.000Z""","""2026-06-04T08:49:31.000Z""","""2026-06-04T09:14:31.000Z"""
103,32,234,3489,,mixed,completed,9,9,6,10,16,"""2026-06-03T08:52:13.000Z""","""2026-06-03T09:16:13.000Z""","""2026-06-03T08:52:13.000Z""","""2026-06-03T09:16:13.000Z"""
104,32,3,25,,mistakes,completed,8,8,3,5,17,"""2026-05-25T20:24:30.000Z""","""2026-05-25T20:48:30.000Z""","""2026-05-25T20:24:30.000Z""","""2026-05-25T20:48:30.000Z"""
105,33,114,1569,,weak_area,completed,8,8,4,9,19,"""2026-05-24T12:04:26.000Z""","""2026-05-24T12:21:26.000Z""","""2026-05-24T12:04:26.000Z""","""2026-05-24T12:21:26.000Z"""
106,33,122,1697,,mistakes,completed,6,6,3,7,13,"""2026-05-12T08:49:15.000Z""","""2026-05-12T09:09:15.000Z""","""2026-05-12T08:49:15.000Z""","""2026-05-12T09:09:15.000Z"""
107,33,173,2517,,mistakes,completed,10,10,3,6,20,"""2026-05-24T11:22:54.000Z""","""2026-05-24T11:46:54.000Z""","""2026-05-24T11:22:54.000Z""","""2026-05-24T11:46:54.000Z"""
108,33,206,3045,,topic,completed,6,6,3,4,12,"""2026-05-13T14:00:16.000Z""","""2026-05-13T14:11:16.000Z""","""2026-05-13T14:00:16.000Z""","""2026-05-13T14:11:16.000Z"""
109,62,160,2305,,topic,completed,10,10,7,11,18,"""2026-06-01T18:36:54.000Z""","""2026-06-01T18:49:54.000Z""","""2026-06-01T18:36:54.000Z""","""2026-06-01T18:49:54.000Z"""
110,62,233,3481,,mistakes,completed,10,10,5,10,21,"""2026-05-05T14:37:16.000Z""","""2026-05-05T14:57:16.000Z""","""2026-05-05T14:37:16.000Z""","""2026-05-05T14:57:16.000Z"""
111,62,171,2485,,weak_area,completed,7,7,2,3,16,"""2026-06-11T07:54:39.000Z""","""2026-06-11T08:19:39.000Z""","""2026-06-11T07:54:39.000Z""","""2026-06-11T08:19:39.000Z"""
112,62,233,3473,,mistakes,completed,9,9,3,5,15,"""2026-04-29T10:10:44.000Z""","""2026-04-29T10:30:44.000Z""","""2026-04-29T10:10:44.000Z""","""2026-04-29T10:30:44.000Z"""
113,62,107,1461,,mixed,completed,8,8,3,6,17,"""2026-05-08T18:01:01.000Z""","""2026-05-08T18:16:01.000Z""","""2026-05-08T18:01:01.000Z""","""2026-05-08T18:16:01.000Z"""
114,62,171,2481,,topic,completed,9,9,3,5,17,"""2026-05-08T17:55:49.000Z""","""2026-05-08T18:20:49.000Z""","""2026-05-08T17:55:49.000Z""","""2026-05-08T18:20:49.000Z"""
115,63,2,19,,mixed,completed,7,7,2,3,14,"""2026-06-01T17:01:28.000Z""","""2026-06-01T17:18:28.000Z""","""2026-06-01T17:01:28.000Z""","""2026-06-01T17:18:28.000Z"""
116,63,2,22,,mistakes,completed,6,6,3,6,13,"""2026-05-29T10:47:08.000Z""","""2026-05-29T11:03:08.000Z""","""2026-05-29T10:47:08.000Z""","""2026-05-29T11:03:08.000Z"""
117,63,30,358,,weak_area,completed,6,6,1,1,11,"""2026-05-02T09:11:54.000Z""","""2026-05-02T09:36:54.000Z""","""2026-05-02T09:11:54.000Z""","""2026-05-02T09:36:54.000Z"""
118,63,97,1305,,mixed,completed,6,6,5,10,12,"""2026-05-06T20:53:21.000Z""","""2026-05-06T21:03:21.000Z""","""2026-05-06T20:53:21.000Z""","""2026-05-06T21:03:21.000Z"""
119,63,150,2153,,topic,completed,9,9,5,8,18,"""2026-05-27T19:26:22.000Z""","""2026-05-27T19:45:22.000Z""","""2026-05-27T19:26:22.000Z""","""2026-05-27T19:45:22.000Z"""
120,64,6,67,,mistakes,completed,9,9,7,14,16,"""2026-05-27T16:31:01.000Z""","""2026-05-27T16:55:01.000Z""","""2026-05-27T16:31:01.000Z""","""2026-05-27T16:55:01.000Z"""
121,64,153,2193,,mixed,completed,10,10,5,9,21,"""2026-04-28T15:20:35.000Z""","""2026-04-28T15:45:35.000Z""","""2026-04-28T15:20:35.000Z""","""2026-04-28T15:45:35.000Z"""
122,64,171,2485,,weak_area,completed,7,7,6,11,14,"""2026-06-01T14:01:18.000Z""","""2026-06-01T14:11:18.000Z""","""2026-06-01T14:01:18.000Z""","""2026-06-01T14:11:18.000Z"""
123,64,155,2229,,topic,completed,10,10,6,11,18,"""2026-05-10T12:59:12.000Z""","""2026-05-10T13:16:12.000Z""","""2026-05-10T12:59:12.000Z""","""2026-05-10T13:16:12.000Z"""
124,64,190,2793,,topic,completed,7,7,5,8,14,"""2026-05-20T21:24:18.000Z""","""2026-05-20T21:32:18.000Z""","""2026-05-20T21:24:18.000Z""","""2026-05-20T21:32:18.000Z"""
125,64,190,2789,,mixed,completed,10,10,9,15,17,"""2026-05-15T10:11:46.000Z""","""2026-05-15T10:19:46.000Z""","""2026-05-15T10:11:46.000Z""","""2026-05-15T10:19:46.000Z"""
126,65,188,2765,,mixed,completed,8,8,7,16,18,"""2026-05-07T09:21:45.000Z""","""2026-05-07T09:38:45.000Z""","""2026-05-07T09:21:45.000Z""","""2026-05-07T09:38:45.000Z"""
127,65,61,721,,weak_area,completed,10,10,2,5,26,"""2026-06-11T20:07:56.000Z""","""2026-06-11T20:18:56.000Z""","""2026-06-11T20:07:56.000Z""","""2026-06-11T20:18:56.000Z"""
128,65,141,2005,,weak_area,completed,8,8,7,15,17,"""2026-05-01T21:01:44.000Z""","""2026-05-01T21:16:44.000Z""","""2026-05-01T21:01:44.000Z""","""2026-05-01T21:16:44.000Z"""
129,65,141,2009,,mistakes,completed,7,7,5,8,12,"""2026-06-12T09:47:41.000Z""","""2026-06-12T09:59:41.000Z""","""2026-06-12T09:47:41.000Z""","""2026-06-12T09:59:41.000Z"""
130,65,61,721,,mistakes,completed,10,10,3,5,20,"""2026-05-26T07:50:18.000Z""","""2026-05-26T08:15:18.000Z""","""2026-05-26T07:50:18.000Z""","""2026-05-26T08:15:18.000Z"""
131,66,201,2961,,topic,completed,9,9,7,13,17,"""2026-05-14T20:49:49.000Z""","""2026-05-14T21:11:49.000Z""","""2026-05-14T20:49:49.000Z""","""2026-05-14T21:11:49.000Z"""
132,66,158,2277,,mistakes,completed,9,9,3,4,18,"""2026-05-15T18:07:01.000Z""","""2026-05-15T18:20:01.000Z""","""2026-05-15T18:07:01.000Z""","""2026-05-15T18:20:01.000Z"""
