id,course_code,course_name,semester,academic_year,status,created_at,updated_at
30,3000581,General Chemistry 1,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
31,3000611,Introduction to Chemical Engineering 1,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
32,3000271,Principles of Chemical Engineering 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
33,3000941,Thermodynamics 1,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
34,3001031,Dynamics and Control,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
35,3001121,Reactor Design and Analysis,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
36,3000061,Unit Operations in Chemical Engineering,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
37,3010341,Environmental Engineering,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
38,5000391,Introduction to Information Systems,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
39,5001081,Foundations of Probability,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
40,5000102,Programming Foundations,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
41,5000271,Deterministic Operations Research,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
42,5000301,Stochastic Operations Research,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
43,5000451,Project Management,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
44,5000861,Introduction to Operations Management,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
45,5001115,Visual Programming,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
46,EE101,Electronic Materials,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
47,EE102,Computer Programming for Electronics,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
48,EE103,Digital Systems,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
49,EE201,Introduction to Electrical Engineering 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
50,EE202,Introduction to Microcomputers,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
51,EE301,Signals and Systems,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
52,EE302,Electromagnetic Fields,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
53,EE303,Introduction to Communication,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
54,0300011,Calculus 2,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
55,0300061,Differential Equations,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
56,0400111,Physics 1,B,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
58,0400141,Physics 2,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
60,STAT101,Introduction to Probability and Statistics,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
61,3000451,Introduction to Chemistry,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
62,1002951,Introduction to Materials,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
63,EG101,Engineering Graphics,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
64,NA101,Numerical Analysis,A,2025-2026,active,"""2026-05-19T12:13:26.106Z""","""2026-05-19T12:13:26.106Z"""
65,SE-DIS1,לוגיקה ונושאים דיסקרטיים I,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
66,SE-ARCH1,ארכיטקטורת מחשבים I,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
67,SE-DIS2,לוגיקה ונושאים דיסקרטיים II,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
68,SE-ARCH2,ארכיטקטורת מחשבים II,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
69,SE101,יסודות הנדסת תוכנה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
70,SE-AUTO,אוטומטים ושפות פורמאליות,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
71,SE-PL,עקרונות שפות תוכנה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
72,SE-NET1,מבוא לתקשורת מחשבים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
73,ALG1,אלגוריתמים I,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
74,ALG2,אלגוריתמים II,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
75,SE-SAFE,בטיחות תוכנה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
76,SE-ADVOOP,תכנות מונחה עצמים מתקדם,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
77,SE-COMPX,חישוביות וסיבוכיות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
78,SE-PM,ניהול פרויקט תוכנה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
79,SE-FINAL,פרויקט גמר,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
80,SE-SEMINAR,סמינר,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
81,0200091,אנגלית מתקדמים ב',A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
82,GEN-GEN,קורס כללי,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
83,CS-LOGIC,לוגיקה ותורת הקבוצות,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
84,CS-ALG2,אלגברה 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
85,CS-DISCRETE,מתמטיקה בדידה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
86,CS-LINUX,סדנת מבוא ללינוקס,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
87,CS-SYSPROG,מבוא לתכנות מערכות,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
88,CS-ARCHASM,ארכיטקטורת מחשבים ושפת סף,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
89,CS-ADVALG,אלגוריתמים מתקדמים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
90,CS-SEMINAR-PAR,סמינר מתקדם בחישוב מקבילי,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
91,CS-SEMINAR-DL,סמינר מתקדם בלמידה עמוקה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
92,CS-SEMINAR-CYBER,סמינר מתקדם בסייבר,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
93,1003001,תכנון אדריכלי,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
94,1000881,תורת המדידה 1,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
95,1044441,יישומי מחשב בהנדסת בניין,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
96,0200011,אנגלית מתקדמים 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
97,1000591,מבוא לגאולוגיה הנדסית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
98,1000571,חוזק חומרים 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
99,1002660,חומרי בנין 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
100,1000951,תורת המדידה 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
101,1007101,מכניקת זורמים 1,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
102,1000171,כלכלה הנדסית לבנין,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
103,1001461,מבוא ליציבות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
104,1000651,חומרי בנין 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
105,1001446,גרפיקה הנדסית 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
106,1002681,מבני בטון 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
107,1002741,סטטיקת מבנים 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
108,1001571,מבני פלדה 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
109,1001070,מכניקת קרקע 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
110,1007041,שיטות ביצוע בבניה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
111,1001060,תכן יסודות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
112,1002321,עיקרי תכן מבנים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
113,1002941,דינמיקת מבנים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
114,1002131,בניית המהנדס,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
115,1000261,תכן מבנים לרעידות אדמה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
116,1003111,מבוא לאלמנטים סופיים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
117,1001050,פרויקט גמר שלב א',A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
118,1001221,בטון דרוך,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
119,1001048,סדנא לפרויקט גמר א',A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
120,5001751,ניתוח מערכות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
121,1002020,פרויקט גמר שלב ב',B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
122,1090309,יסודות הנדסת התחבורה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
123,1001049,סדנא לפרויקט גמר ב',B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
124,6060190,תורת החומרים 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
125,0400051,מבוא לפיזיקה 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
126,0400271,מבוא למכניקה של גוף קשיח,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
127,6060192,תורת החומרים 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
128,6000426,גרפיקה ממוחשבת,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
129,0400011,מבוא לפיזיקה 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
130,0400201,פיזיקה 2 א',A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
131,6000852,מבוא לתכן הנדסי ועיצוב 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
132,6050128,יסודות העיצוב היצירתי,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
133,6090022,מתמטיקה יישומית להנדסה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
134,6000561,תורת המכונות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
135,6050131,מבוא למערכות ליניאריות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
136,6000581,טכנולוגיות ייצור,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
137,6090003,תכנות בעזרת MATLAB,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
138,6000541,מבוא להנדסת חשמל ואלקטרוניקה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
139,6000882,מבוא לתכן הנדסי ועיצוב 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
140,6090139,היסטוריה ופילוסופיה של העיצוב,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
141,6090001,תרמודינמיקה 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
142,6000781,מעבר חום,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
143,6000621,תיכון מכונות 1,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
144,6000603,אלקטרוניקה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
145,6001151,מיקרו מחשבים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
146,6001032,תיכון ופיתוח מוצרים 1,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
147,6010062,פרויקט תכן,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
148,6001061,תיכון מכונות 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
149,6050125,מערכות ייצור ממוחשבות,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
150,6020010,מכניקת הזורמים 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
151,6090005,בקרה ליניארית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
152,6000911,מבוא למיקרו מחשבים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
153,6060210,מערכות משובצות מחשב,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
154,3000181,כימיה אנליטית 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
155,3000696,איתור מידע והצגתו,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
156,3000701,כימיה כללית 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
157,3000231,כימיה אנליטית 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
158,3000761,מבוא להנדסה כימית 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
159,3001888,תכנות בעזרת MATLAB להנדסה כימית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
160,3000791,מבוא להנדסה כימית PO 3,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
161,3000211,כימיה אורגנית 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
162,3000821,מבוא לביולוגיה של התא,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
163,3000041,מבוא לביוטכנולוגיה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
164,3000361,כימיה אורגנית 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
165,3000851,ביוכימיה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
166,3000301,עקרונות הנדסה כימית 2,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
167,3000331,כימיה פיסיקלית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
168,3000971,פולימרים וביופולימרים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
169,3000421,עקרונות הנדסה כימית 3,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
170,3000091,בטיחות בתעשייה הכימית והביוטכנולוגית,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
171,3000521,תכנון וניתוח ניסויים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
172,3000481,תכנון מפעלים 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
173,3001151,תכנון מפעלים 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
174,3010151,מבוא לאפיון חיים סביבתי,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
175,3020041,מיקרוביולוגיה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
176,3020101,יסודות הגנטיקה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
177,3020131,ביולוגיה מולקולרית והנדסה גנטית,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
178,6500000,יישומי מחשב,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
179,5001111,הסקה סטטיסטית,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
180,5000761,יסודות החשבונאות,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
181,5000237,הכרת בסיסי נתונים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
182,5000421,מיקרו כלכלה,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
183,5000811,כלכלה ניהולית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
184,5000701,התנהגות ארגונית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
185,5000841,יסודות המימון,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
186,5001001,ניהול משאבי אנוש,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
187,5000481,סטטיסטיקה ישומית,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
188,5000891,ניהול השיווק,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
189,5010271,חקר עבודה 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
190,5000021,תכנון פיקוח ייצור 1,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
191,5000571,תכנון ניסויים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
192,5000971,איכות כוללת,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
193,5011042,יסודות הנדסת חומרים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
194,5010102,בקרת איכות סטטיסטית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
195,5000751,אמינות הנדסית,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
196,5001052,הנדסת אנוש,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
197,5020422,תכנות מתקדם,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
198,5000491,ארגון ועיבוד קבצים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
199,5090001,ניתוח כדאיות פרויקטים,A,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
200,5001042,הכנה לפרויקט,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
201,5050669,ניהול התכן ההנדסי,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
202,5010321,חקר עבודה 2,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
203,5010211,ניהול אחזקה,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
204,5020361,בסיסי נתונים,B,2025-2026,active,"""2026-05-23T22:30:00.000Z""","""2026-05-23T22:30:00.000Z"""
