id,course_code,course_name,semester,academic_year,status,created_at,updated_at
19,1001080,Soil Mechanics 1,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
20,1001491,Structural Statics 1,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
21,1005001,Construction Management,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
22,6000811,Computer Programming,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
23,6000211,Statics,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
24,6000431,Dynamics,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
25,6060130,Introduction to Robotics,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
26,6060140,Thermodynamics,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
27,6000721,Strength of Materials 1,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
28,6000741,Fluid Mechanics 1,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
29,6000521,Control Systems,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
30,3000581,General Chemistry 1,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
31,3000611,Introduction to Chemical Engineering 1,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
32,3000271,Principles of Chemical Engineering 1,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
33,3000941,Thermodynamics 1,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
34,3001031,Dynamics and Control,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
35,3001121,Reactor Design and Analysis,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
36,3000061,Unit Operations in Chemical Engineering,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
37,3010341,Environmental Engineering,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
38,5000391,Introduction to Information Systems,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
39,5001081,Foundations of Probability,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
40,5000102,Programming Foundations,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
41,5000271,Deterministic Operations Research,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
42,5000301,Stochastic Operations Research,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
43,5000451,Project Management,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
44,5000861,Introduction to Operations Management,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
45,5001115,Visual Programming,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
46,EE101,Electronic Materials,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
47,EE102,Computer Programming for Electronics,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
48,EE103,Digital Systems,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
49,EE201,Introduction to Electrical Engineering 1,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
50,EE202,Introduction to Microcomputers,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
51,EE301,Signals and Systems,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
52,EE302,Electromagnetic Fields,B,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
53,EE303,Introduction to Communication,A,2025-2026,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z"""
54,0300011,Calculus 2,B,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
55,0300061,Differential Equations,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
56,0400111,Physics 1,B,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
57,0400231,Physics Lab 1,B,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
58,0400141,Physics 2,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
59,0400081,Physics Lab 2,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
60,STAT101,Introduction to Probability and Statistics,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
61,3000451,Introduction to Chemistry,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
62,1002951,Introduction to Materials,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
63,EG101,Engineering Graphics,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
64,NA101,Numerical Analysis,A,2025-2026,active,"""2026-05-18T20:15:00.000Z""","""2026-05-18T20:15:00.000Z"""
